id,manager,team_name,season,league_id
2025_1_1,Bill,The Justus League,2025,
2025_1_2,Noelle,Triple Decaf FC,2025,
2025_1_3,Joey,Tika Tanaka,2025,
2025_1_4,Jackson,Yazmanian Devils,2025,
2025_1_5,Ryne,Midwest Express FC,2025,
2025_1_6,Mariam,Iron Will FC,2025,
2025_1_7,Danny,Trying My Best FC,2025,
2025_1_8,Brock-Wallace,Cal's Pals FC,2025,
2025_1_9,Chris,My Lil' Croixssant,2025,
2025_1_10,Nancy,Emerald City,2025,
2025_1_11,Cameron,Hal's Pals FC,2025,
