player,nwsl_team,draft_position
Claire Lavogez,Kansas City Current,MF
Vanessa DiBernardo,Kansas City Current,MF
Morgan Gautrat,Kansas City Current,MF
Ali Krieger,NJ/NY Gotham FC,DF
Bruninha,NJ/NY Gotham FC,DF
Sabrina Flores,NJ/NY Gotham FC,DF
Ellie Jean,NJ/NY Gotham FC,DF
Mandy Freeman,NJ/NY Gotham FC,DF
Kristen Edmonds,NJ/NY Gotham FC,DF
Imani Dorsey,NJ/NY Gotham FC,DF
Nealy Martin,NJ/NY Gotham FC,DF
Kelley O'Hara,NJ/NY Gotham FC,DF
Taylor Smith,NJ/NY Gotham FC,DF
Svava Rós Guðmundsdóttir,NJ/NY Gotham FC,FW
Jenna Nighswonger,NJ/NY Gotham FC,FW
Lynn Williams,NJ/NY Gotham FC,FW
Margaret Purce,NJ/NY Gotham FC,FW
Ifeoma Onumonu,NJ/NY Gotham FC,FW
Katie Stengel,NJ/NY Gotham FC,FW
Esther González,NJ/NY Gotham FC,FW
Michelle Betos,NJ/NY Gotham FC,GK
Abby Smith,NJ/NY Gotham FC,GK
Hensley Hancuff,NJ/NY Gotham FC,GK
Amanda Haught,NJ/NY Gotham FC,GK
Yazmeen Ryan,NJ/NY Gotham FC,MF
Taryn Torres,NJ/NY Gotham FC,MF
McCall Zerboni,NJ/NY Gotham FC,MF
Sinead Farrelly,NJ/NY Gotham FC,MF
Nahomi Kawasumi,NJ/NY Gotham FC,MF
Delanie Sheehan,NJ/NY Gotham FC,MF
Allie Long,NJ/NY Gotham FC,MF
Ashlyn Puerta,NJ/NY Gotham FC,MF
Kristie Mewis,NJ/NY Gotham FC,MF
Maitane López Millán,NJ/NY Gotham FC,MF
Kaleigh Kurtz,North Carolina Courage,DF
Sarah Clark,North Carolina Courage,DF
Sydney Collins,North Carolina Courage,DF
Malia Berkely,North Carolina Courage,DF
Estelle Johnson,North Carolina Courage,DF
Ryan Williams,North Carolina Courage,DF
Emily Fox,North Carolina Courage,DF
Nikia Smith,North Carolina Courage,DF
Kiki Pickett,North Carolina Courage,DF
Kerolin,North Carolina Courage,FW
Millie Farrow,North Carolina Courage,FW
Brittany Ratcliffe,North Carolina Courage,FW
Mille Gejl Jensen,North Carolina Courage,FW
Haley Hopkins,North Carolina Courage,FW
Tyler Lussi,North Carolina Courage,FW
Olivia Wingate,North Carolina Courage,FW
Rikke Madsen,North Carolina Courage,FW
Tess Boade,North Carolina Courage,FW
Katelyn Rowland,North Carolina Courage,GK
Casey Murphy,North Carolina Courage,GK
Marisa Bova,North Carolina Courage,GK
Victoria Pickett,North Carolina Courage,MF
Brianna Pinto,North Carolina Courage,MF
Clara Robbins,North Carolina Courage,MF
Denise O'Sullivan,North Carolina Courage,MF
Elianna Beard,North Carolina Courage,MF
Narumi Miura,North Carolina Courage,MF
Emily Gray,North Carolina Courage,MF
Jennifer Cudjoe,North Carolina Courage,MF
Frankie Tagliaferri,North Carolina Courage,MF
Manaka Matsukubo,North Carolina Courage,MF
Meredith Speck,North Carolina Courage,MF
Lauren Barnes,OL Reign,DF
Alana Cook,OL Reign,DF
Sofia Huerta,OL Reign,DF
Jimena López,OL Reign,DF
Samantha Hiatt,OL Reign,DF
Ryanne Brown,OL Reign,DF
Alyssa Malonson,OL Reign,DF
Phoebe McClernon,OL Reign,DF
Shae Holmes,OL Reign,DF
Emily Sonnett,OL Reign,DF
Bethany Balcer,OL Reign,FW
Megan Rapinoe,OL Reign,FW
Tziarra King,OL Reign,FW
Veronica Latsko,OL Reign,FW
Elyse Bennett,OL Reign,FW
Jordyn Huitema,OL Reign,FW
Laurel Ivory,OL Reign,GK
Claudia Dickey,OL Reign,GK
Phallon Tullis-Joyce,OL Reign,GK
Nikki Stanton,OL Reign,MF
Quinn,OL Reign,MF
Angelina,OL Reign,MF
Jess Fishlock,OL Reign,MF
Olivia Athens,OL Reign,MF
Rose Lavelle,OL Reign,MF
Olivia Van der Jagt,OL Reign,MF
Luany,OL Reign,MF
Natalie Viggiano,OL Reign,MF
Marley Canales,OL Reign,MF
Jadyn Edwards,OL Reign,MF
Tori Hansen,Orlando Pride,DF
Emily Madril,Orlando Pride,DF
Megan Oyster,Orlando Pride,DF
Carrie Lawrence,Orlando Pride,DF
Celia Jiménez,Orlando Pride,DF
Brianna Martinez,Orlando Pride,DF
Kylie Strom,Orlando Pride,DF
Konya Plummer,Orlando Pride,DF
Kerry Abello,Orlando Pride,DF
Caitlin Cosme,Orlando Pride,DF
Haley Hanson,Orlando Pride,DF
Rafaelle,Orlando Pride,DF
Marta,Orlando Pride,FW
Messiah Bright,Orlando Pride,FW
Adriana,Orlando Pride,FW
Julie Doyle,Orlando Pride,FW
Leah Pruitt,Orlando Pride,FW
Ally Watt,Orlando Pride,FW
Haley Bugeja,Orlando Pride,FW
Maliah Morris,Orlando Pride,FW
Kristen Scott,Orlando Pride,FW
Erika Tymrak,Orlando Pride,FW
Summer Yates,Orlando Pride,FW
Amanda Allen,Orlando Pride,FW
Mariana Larroquette,Orlando Pride,FW
McKinley Crone,Orlando Pride,GK
Kaylie Collins,Orlando Pride,GK
Anna Moorhouse,Orlando Pride,GK
Carly Neslon,Orlando Pride,GK
Thais Reiss,Orlando Pride,MF
Jordyn Listro,Orlando Pride,MF
Viviana Villacorta,Orlando Pride,MF
Mikayla Cluff,Orlando Pride,MF
Becky Sauerbrunn,Portland Thorns,DF
Emily Menges,Portland Thorns,DF
Natalia Kuikka,Portland Thorns,DF
Tegan McGrady,Portland Thorns,DF
Kelli Hubly,Portland Thorns,DF
Meghan Klingenberg,Portland Thorns,DF
Meaghan Nally,Portland Thorns,DF
Chaylyn Hubbard,Portland Thorns,DF
Gabby Provenzano,Portland Thorns,DF
Reyna Reyes,Portland Thorns,DF
Janine Beckie,Portland Thorns,FW
Natalie Beckman,Portland Thorns,FW
Hannah Betfort,Portland Thorns,FW
Izzy D'Aquila,Portland Thorns,FW
Lauren DeBeau,Portland Thorns,FW
Sophia Smith,Portland Thorns,FW
Michele Vasconcelos,Portland Thorns,FW
Morgan Weaver,Portland Thorns,FW
Adriana Leon,Portland Thorns,FW
Bella Bixby,Portland Thorns,GK
Lauren Kozal,Portland Thorns,GK
Shelby Hogan,Portland Thorns,GK
Hina Sugita,Portland Thorns,MF
Raquel Rodríguez,Portland Thorns,MF
Christine Sinclair,Portland Thorns,MF
Olivia Moultrie,Portland Thorns,MF
Sam Coffey,Portland Thorns,MF
Crystal Dunn,Portland Thorns,MF
Taylor Porter,Portland Thorns,MF
Sydney Pulver,Portland Thorns,MF
Abby Erceg,Racing Louisville FC,DF
Carson Pickett,Racing Louisville FC,DF
Rebecca Holloway,Racing Louisville FC,DF
Julia Lester,Racing Louisville FC,DF
Paige Monaghan,Racing Louisville FC,DF
Satara Murray,Racing Louisville FC,DF
Elli Pikkujämsä,Racing Louisville FC,DF
Zaneta Wyne,Racing Louisville FC,DF
Nadia Nadim,Racing Louisville FC,FW
Emina Ekic,Racing Louisville FC,FW
Jessica McDonald,Racing Louisville FC,FW
Kanu Uchenna,Racing Louisville FC,FW
Parker Goins,Racing Louisville FC,FW
Kirsten Davis,Racing Louisville FC,FW
Thembi Kgatlana,Racing Louisville FC,FW
Riley Parker,Racing Louisville FC,FW
Katie Lund,Racing Louisville FC,GK
Hillary Beale,Racing Louisville FC,GK
Kelsey Daugherty,Racing Louisville FC,GK
Olivia Sekany,Racing Louisville FC,GK
Jordyn Bloomer,Racing Louisville FC,GK
Lauren Milliet,Racing Louisville FC,MF
Alex Chidiac,Racing Louisville FC,MF
Jaelin Howell,Racing Louisville FC,MF
Savannah Demelo,Racing Louisville FC,MF
Ary Borges,Racing Louisville FC,MF
Kayla Fischer,Racing Louisville FC,MF
Wang Shuang,Racing Louisville FC,MF
Ella Sanchez,Racing Louisville FC,MF
Jordan Baggett,Racing Louisville FC,MF
Maddie Pokorny,Racing Louisville FC,MF
Abby Dahlkemper,San Diego Wave FC,DF
Naomi Girma,San Diego Wave FC,DF
Kaleigh Riehl,San Diego Wave FC,DF
Cheyenne Shorts,San Diego Wave FC,DF
Christen Westphal,San Diego Wave FC,DF
Mia Gyau,San Diego Wave FC,DF
Kristen McNabb,San Diego Wave FC,DF
Madison Pogarch,San Diego Wave FC,DF
Amirah Ali,San Diego Wave FC,FW
Melanie Barcenas,San Diego Wave FC,FW
Sofia Jakobsson,San Diego Wave FC,FW
Alex Morgan,San Diego Wave FC,FW
Makenzy Doniak,San Diego Wave FC,FW
Jaedyn Shaw,San Diego Wave FC,FW
Rachel Hill,San Diego Wave FC,FW
Kyra Carusa,San Diego Wave FC,FW
Kailen Sheridan,San Diego Wave FC,GK
Shae Yanez,San Diego Wave FC,GK
Lauren Brzykcy,San Diego Wave FC,GK
Emily van Egmond,San Diego Wave FC,MF
Kelsey Turnbow,San Diego Wave FC,MF
Meggie Dougherty Howard,San Diego Wave FC,MF
Danielle Colaprico,San Diego Wave FC,MF
Taylor Kornieck,San Diego Wave FC,MF
Belle Briede,San Diego Wave FC,MF
Sierra Enge,San Diego Wave FC,MF
Giovanna DeMarco,San Diego Wave FC,MF
Dorian Bailey,Washington Spirit,DF
Camryn Biegalski,Washington Spirit,DF
Amber Brooks,Washington Spirit,DF
Gabrielle Carle,Washington Spirit,DF
Maddie Elwell,Washington Spirit,DF
Anna Heilferty,Washington Spirit,DF
Tara McKeown,Washington Spirit,DF
Samantha Staab,Washington Spirit,DF
Delaney Graham,Washington Spirit,DF
Anaïg Butel,Washington Spirit,DF
Jordan Thompson,Washington Spirit,DF
Ashley Hatch,Washington Spirit,FW
Civana Kuhlmann,Washington Spirit,FW
Lena Silano,Washington Spirit,FW
Trinity Rodman,Washington Spirit,FW
Melina Rebimbas,Washington Spirit,FW
Mariana Speckmaier,Washington Spirit,FW
Ouleymata Sarr,Washington Spirit,FW
Aubrey Kingsbury,Washington Spirit,GK
Lyza Bosselmann,Washington Spirit,GK
Nicole Barnhart,Washington Spirit,GK
Nicole Douglas,Washington Spirit,MF
Bayley Feist,Washington Spirit,MF
Tori Huster,Washington Spirit,MF
Paige Metayer,Washington Spirit,MF
Chloe Ricketts,Washington Spirit,MF
Ashley Sanchez,Washington Spirit,MF
Marissa Sheva,Washington Spirit,MF
Andi Sullivan,Washington Spirit,MF
Inès Jaurena,Washington Spirit,MF
Riley Tanner,Washington Spirit,MF
