player,nwsl_team,draft_position
Vanessa Gilles,Angel City FC,DF
Ali Riley,Angel City FC,DF
Sarah Gorden,Angel City FC,DF
Megan Reid,Angel City FC,DF
Paige Nielsen,Angel City FC,DF
Mary Vignola,Angel City FC,DF
Allyson Swaby,Angel City FC,DF
Madison Hammond,Angel City FC,DF
Jasmyne Spencer,Angel City FC,DF
Kelsey Hill,Angel City FC,DF
Merritt Mathias,Angel City FC,DF
Gisele Thompson,Angel City FC,DF
Simone Charley,Angel City FC,FW
Alyssa Thompson,Angel City FC,FW
Katie Johnson,Angel City FC,FW
Christen Press,Angel City FC,FW
Sydney Leroux,Angel City FC,FW
Mia Minestrella,Angel City FC,FW
Scarlett Camberos,Angel City FC,FW
DiDi Haracic,Angel City FC,GK
Angelina Anderson,Angel City FC,GK
Brittany Isenhour,Angel City FC,GK
Claire Emslie,Angel City FC,MF
Savannah McCaskill,Angel City FC,MF
Dani Weatherholt,Angel City FC,MF
Jun Endō,Angel City FC,MF
Shae Harvey,Angel City FC,MF
Clarisse Le Bihan,Angel City FC,MF
Lily Nabet,Angel City FC,MF
Mackenzie Pluck,Angel City FC,MF
Katie Soderstrom,Angel City FC,MF
Julie Ertz,Angel City FC,MF
Amandine Henry,Angel City FC,MF
Arin Wright,Chicago Red Stars,DF
Casey Krueger,Chicago Red Stars,DF
Tierna Davidson,Chicago Red Stars,DF
Bianca St Georges,Chicago Red Stars,DF
Tatumn Milazzo,Chicago Red Stars,DF
Amanda Kowalski,Chicago Red Stars,DF
Kayla Sharples,Chicago Red Stars,DF
Jenna Bike,Chicago Red Stars,FW
Yūki Nagasato,Chicago Red Stars,FW
Ella Stevens,Chicago Red Stars,FW
Mallory Swanson,Chicago Red Stars,FW
Sarah Griffith,Chicago Red Stars,FW
Ava Cook,Chicago Red Stars,FW
Penelope Hocking,Chicago Red Stars,FW
Brenna Lovera,Chicago Red Stars,FW
Allyson Schlegel,Chicago Red Stars,FW
Alyssa Naeher,Chicago Red Stars,GK
Emily Boyd,Chicago Red Stars,GK
Meagan McClelland,Chicago Red Stars,GK
Mackenzie Wood,Chicago Red Stars,GK
Julia Bianchi,Chicago Red Stars,MF
Jill Aguilera,Chicago Red Stars,MF
Samantha Fisher,Chicago Red Stars,MF
Sami Feller,Chicago Red Stars,MF
Sophie Jones,Chicago Red Stars,MF
Addie McCain,Chicago Red Stars,MF
Taylor Malham,Chicago Red Stars,MF
Cari Roccaro,Chicago Red Stars,MF
Sandra Starke,Chicago Red Stars,MF
Allysha Chapman,Houston Dash,DF
Ally Prisock,Houston Dash,DF
Courtney Petersen,Houston Dash,DF
Katie Naughton,Houston Dash,DF
Annika Creel,Houston Dash,DF
Caprice Dydasco,Houston Dash,DF
Madelyn Desiano,Houston Dash,DF
Jyllissa Harris,Houston Dash,DF
Natalie Jacobs,Houston Dash,DF
Lindsi Jennings,Houston Dash,DF
Nichelle Prince,Houston Dash,FW
Diana Ordoñez,Houston Dash,FW
Cameron Tucker,Houston Dash,FW
Ryan Gareis,Houston Dash,FW
Michelle Alozie,Houston Dash,FW
Joelle Anderson,Houston Dash,FW
Michaela Abam,Houston Dash,FW
Maria Sanchez,Houston Dash,FW
Ebony Salmon,Houston Dash,FW
Jane Campbell,Houston Dash,GK
Ella Dederick,Houston Dash,GK
Devon Kerr,Houston Dash,GK
Savannah Madden,Houston Dash,GK
Emily Curran,Houston Dash,MF
Elizabeth Eddy,Houston Dash,MF
Shea Groom,Houston Dash,MF
Kelcie Hedge,Houston Dash,MF
Sophie Hirst,Houston Dash,MF
Makamae Gomera-Stevens,Houston Dash,MF
Bárbara Olivieri,Houston Dash,MF
Sophie Schmidt,Houston Dash,MF
Havana Solaun,Houston Dash,MF
Marisa Viggiano,Houston Dash,MF
Sarah Puntigam,Houston Dash,MF
Andressa,Houston Dash,MF
Hailie Mace,Kansas City Current,DF
Elizabeth Ball,Kansas City Current,DF
Kate Del Fava,Kansas City Current,DF
Hanna Glas,Kansas City Current,DF
Isabel Rodriguez,Kansas City Current,DF
Jenna Winebrenner,Kansas City Current,DF
Mallory Weber,Kansas City Current,DF
Alex Loera,Kansas City Current,DF
Gabrielle Robinson,Kansas City Current,DF
Addisyn Merrick,Kansas City Current,DF
Croix Soto,Kansas City Current,DF
Lauren,Kansas City Current,DF
Stine Ballisager Pedersen,Kansas City Current,DF
Michelle Cooper,Kansas City Current,FW
Alexa Spaanstra,Kansas City Current,FW
Kristen Hamilton,Kansas City Current,FW
Mimmi Larsson,Kansas City Current,FW
Cecelia Kizer,Kansas City Current,FW
Adrianna Franch,Kansas City Current,GK
Jordan Silkowitz,Kansas City Current,GK
Cassie Miller,Kansas City Current,GK
Rylan Childers,Kansas City Current,MF
Lo'eau LaBonta,Kansas City Current,MF
Desiree Scott,Kansas City Current,MF
Chardonnay Curran,Kansas City Current,MF
Sam Mewis,Kansas City Current,MF
Debinha,Kansas City Current,MF
Chloe Logarzo,Kansas City Current,MF
