player_id,match_id,yellow_cards,red_cards
860079,5161452,1,0
932208,5161452,1,0
1170228,5161452,2,0
1359791,5161452,1,0
1378691,5161452,1,0
1408768,5161452,1,0
1607087,5161452,1,0
1737505,5161452,1,0
1727427,5161453,1,0
734795,5161454,0,1
1091741,5161454,1,0
1344369,5161454,1,0
1360364,5161454,1,0
1170697,5161455,1,0
1386849,5161456,1,0
1418346,5161456,1,0
638033,5161457,1,0
1626116,5161457,1,0
1643301,5161457,1,0
1727503,5161457,1,0
1618188,5161458,1,0
1081853,5161459,1,0
1256374,5161459,1,0
1748347,5161459,1,0
1256374,5161460,1,0
1269083,5161461,0,1
1347063,5161461,2,0
1740667,5161461,0,1
638007,5161462,1,0
1345776,5161462,1,0
1378691,5161462,1,0
1618208,5161463,1,0
1727433,5161463,1,0
1081810,5161464,1,0
1187388,5161464,1,0
1455304,5161464,1,0
1626413,5161464,1,0
1727394,5161464,2,0
1623814,5161465,1,0
851316,5161466,1,0
898505,5161466,1,0
1455302,5161466,1,0
1727506,5161466,1,0
1510768,5161467,1,0
1256374,5161468,1,0
1359610,5161468,1,0
1359791,5161468,1,0
1727438,5161468,1,0
1618190,5161469,1,0
1380587,5161470,1,0
1455363,5161470,1,0
851316,5161471,1,0
1269653,5161471,1,0
638007,5161472,1,0
1187388,5161472,1,0
1793298,5161472,1,0
934143,5161473,1,0
980948,5161473,1,0
1127307,5161473,1,0
1170671,5161473,1,0
1170870,5161473,1,0
1214612,5161473,1,0
1408768,5161473,1,0
1607087,5161473,1,0
1081853,5161474,1,0
1624170,5161474,1,0
646065,5161480,1,0
1044266,5161480,1,0
1451621,5161480,1,0
1618171,5161480,1,0
1626117,5161480,1,0
1378691,5161481,1,0
1611594,5161481,1,0
1714650,5161481,1,0
1079072,5161482,1,0
1081831,5161482,1,0
1623859,5161482,1,0
1727372,5161482,1,0
1727485,5161482,1,0
1091768,5161485,1,0
1192811,5161485,1,0
1727443,5161487,1,0
